Music,Type,Duration (s),Sampling Rate (Hz),RMS Energy,Spectral Centroid,Spectral Bandwidth,Zero Crossing Rate
DontCry,guitar,283.7710909090909,22000,0.07550095,1626.7839208353728,1383.8471408910889,0.1198426544304576
BasketCase,bass_filtered,181.58004545454546,22000,0.0904579,254.05415619122968,218.84445374803366,0.01729121361575676
BasketCase,guitar,181.58004545454546,22000,0.120720744,1828.8703728565254,1510.533375059927,0.11986287825996411
tangerine,bass_filtered,190.3804090909091,22000,0.048755158,284.34372008691855,240.25555334202375,0.019010858334097297
tangerine,guitar,190.3804090909091,22000,0.039162822,1811.4858754057848,2003.624881053034,0.09772757332156827
HotForTeacher,bass_filtered,282.79586363636366,22000,0.07715231,298.0260404075617,228.39525633173054,0.021082242120638577
HotForTeacher,guitar,282.79586363636366,22000,0.087643795,2070.051700181534,1675.4858260096025,0.1315157741524029
vanhalen,bass_filtered,227.85745454545454,22000,0.06781397,241.08610979962626,218.81500095804128,0.013869860554335615
vanhalen,guitar,227.85745454545454,22000,0.07697534,2238.824805065997,1675.0766533368212,0.1500078695517567
DaniCalifornia,bass_filtered,287.67204545454547,22000,0.0626104,208.4840591796644,181.65439470501767,0.013083970312373594
DaniCalifornia,guitar,287.67204545454547,22000,0.050752267,1768.6097914329207,1602.058811804712,0.10737139175127416
IslandInTheSun,bass_filtered,200.365,22000,0.1259359,159.7186596710448,157.996655962702,0.009822335946573751
IslandInTheSun,guitar,200.365,22000,0.10001193,1611.7573841321348,1484.2181862071848,0.1071593600283101
UnderTheBridge,bass_filtered,264.68427272727274,22000,0.069274,236.79935775490893,199.15742630024363,0.017042835839963952
UnderTheBridge,guitar,264.68427272727274,22000,0.05879681,1561.137657198958,1456.6590291934713,0.10147084530782927
Anesthesia,bass_filtered,268.6781363636364,22000,0.016910473,366.91528211970507,314.10454127696477,0.023816578808466868
Anesthesia,guitar,268.6781363636364,22000,0.14128987,1892.5213535891041,1501.8491240438734,0.10143642235545691
LookYourBack,bass_filtered,298.51577272727275,22000,0.0794886,222.6977626292119,190.84007851494786,0.014190533457258127
LookYourBack,guitar,298.51577272727275,22000,0.07297626,2141.1137789548598,1743.5890290880238,0.14086615239095268
StairwayToHeaven,bass_filtered,482.88218181818183,22000,0.02807233,277.83741990931577,226.74595500698322,0.02021165270766061
StairwayToHeaven,guitar,482.88218181818183,22000,0.05906284,1266.5820553996966,1434.090633366504,0.07237799393193647
